n,m,avg_pp,var_pp,medi_pp,ci_pp,avg_interp
32,32,0.06719624742865563,0.059314035810530186,0.00040632590259201005,0.0439350751228627,39.401762500000004
64,64,0.03872202635742723,0.03557103220373392,0.0001404615478333765,0.019595295423641752,14.695504687500001
128,128,0.051319810021668674,0.021393969189375635,0.009264012122944766,0.09128245566971607,7.596355625
256,256,0.09490840075537563,0.04755785455927253,0.020234486840215633,0.4967366220895202,5.3319562109375
512,512,0.07443332035094496,0.009859955869615078,0.12434308381264134,0.2055192817933859,3.496760224609375
